name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
Shoaib Akhtar,10a91f35,Shoaib Akhtar,Shoaib Akhtar,42655.0,
Shoaib Malik,64c34cd0,Shoaib Malik,Shoaib Malik,42657.0,
AK Mitra,4e11e004,AK Mitra,AK Mitra,31320.0,
FM Engineer,6529ee42,FM Engineer,FM Engineer,28624.0,
Mohammad Hafeez,9ab63e7b,Mohammad Hafeez,Mohammad Hafeez,41434.0,
U Kaul,622cc511,U Kaul,U Kaul,30235.0,
VS Yeligati,38f2c66c,VS Yeligati,VS Yeligati,307448.0,
Gagandeep Singh,890de8cb,Gagandeep Singh,Gagandeep Singh,28758.0,
HS Sekhon,58b66172,HS Sekhon,HS Sekhon,33893.0,
LPC Silva,1be70c88,LPC Silva,LPC Silva,50431.0,
A Nel,2503e881,A Nel,A Nel,46569.0,
B Geeves,50758325,B Geeves,B Geeves,5472.0,
AV Jayaprakash,bde6e9ef,AV Jayaprakash,AV Jayaprakash,29691.0,
D Salunkhe,0264c10e,D Salunkhe,D Salunkhe,278482.0,
Misbah-ul-Haq,7eae4418,Misbah-ul-Haq,Misbah-ul-Haq,41378.0,
I Shivram,85143097,I Shivram,I Shivram,35290.0,
SJ Davis,bc71b0b2,SJ Davis,SJ Davis,4922.0,
Salman Butt,4d6d6280,Salman Butt,Salman Butt,42683.0,
Umar Gul,16dfcc19,Umar Gul,Umar Gul,43524.0,
CH Lloyd,5b445db0,CH Lloyd,CH Lloyd,52345.0,
MSS Ranawat,8048c698,MSS Ranawat,MSS Ranawat,33614.0,
SM Pollock,88fccd6c,SM Pollock,SM Pollock,46774.0,
AS Yadav,b9be6507,AS Yadav,AS Yadav,36110.0,
DP Vijaykumar,acd4f5dc,DP Vijaykumar,DP Vijaykumar,272949.0,
GA Pratapkumar,cf7c5778,GA Pratapkumar,GA Pratapkumar,32299.0,
PM Sarvesh Kumar,4b4d1957,PM Sarvesh Kumar,PM Sarvesh Kumar,327127.0,
SP Fleming,eea6b7f1,SP Fleming,SP Fleming,37000.0,
Shahid Afridi,0dc00542,Shahid Afridi,Shahid Afridi,42639.0,
Talat Ali,1df4131e,Talat Ali,Talat Ali,43273.0,
GD McGrath,ee7d0c82,GD McGrath,GD McGrath,6565.0,
Mohammad Asif,e03b66ec,Mohammad Asif,Mohammad Asif,41411.0,
CK Kapugedera,cfad138c,CK Kapugedera,CK Kapugedera,209457.0,
Kamran Akmal,ff077124,Kamran Akmal,Kamran Akmal,41028.0,
M Ntini,20a941bb,M Ntini,M Ntini,46592.0,
MR Singh,5d58ac60,MR Singh,MR Singh,34051.0,
S Vidyut,756389bd,S Vidyut,S Vidyut,35619.0,
Sohail Tanvir,64d43928,Sohail Tanvir,Sohail Tanvir,43265.0,
A Chopra,e249fdaa,A Chopra,A Chopra,27639.0,
A Flintoff,ddc0828d,A Flintoff,A Flintoff,12856.0,
SB Bangar,0604ef16,SB Bangar,SB Bangar,27225.0,
RR Bose,21ac077a,RR Bose,RR Bose,27572.0,
T Kohli,40caa465,T Kohli,T Kohli,331855.0,
GR Napier,611926bc,GR Napier,GR Napier,17991.0,
R Bishnoi,4d5a1617,R Bishnoi,R Bishnoi,236766.0,
FH Edwards,a7c226e1,FH Edwards,FH Edwards,51782.0,
TM Srivastava,a76d10ba,TM Srivastava,TM Srivastava,35401.0,
MR Benson,790e14d3,MR Benson,MR Benson,9074.0,
D du Preez,d7a57f75,D du Preez,D du Preez,44938.0,
